Details,State,Found In CSV
Nike Soccer Camp at Davenport University,michigan,Yes
Nike Boys College ID Soccer Camp - Kalamazoo College,michigan,No
Nike Soccer Camp at Liverpool FC International Academy - Central,michigan,Yes
Nike Soccer Camp at Saginaw Valley State University,michigan,Yes
Nike Soccer Camp at Waterford Township,michigan,Yes
Nike Soccer Camp at Shattuck - St. Mary's School,minnesota,Yes
Nike Soccer Camp at Minnesota State University Mankato,minnesota,Yes
Nike Soccer Camp at Concordia University - St. Paul,minnesota,No
Nike Soccer Camp in Stillwater,minnesota,Yes
Nike Soccer Camp at Lincoln University of Missouri,missouri,Yes
Nike Soccer Camp at Harris-Stowe State University,missouri,Yes
Nike Soccer Camp in Big Sky,montana,Yes
Nike Boys Soccer College ID Camp in Bozeman,montana,Yes
Nike Soccer Camp at Nebraska MultiSport Complex,nebraska,Yes
Nike Soccer Camp at Creighton Prep,nebraska,No
Nike Soccer Camp with JM Soccer Academy - Henderson,nevada,Yes
Nike Soccer Camp with JM Soccer Academy - Las Vegas,nevada,Yes
Nike Soccer Camp with JM Soccer Academy - Reno,nevada,Yes
Nike Soccer Camp at Saint Anselm,new-hampshire,Yes
Nike Soccer Camp at The Pingry School,new-jersey,Yes
Nike Soccer Camp with Beestera Soccer Training at Sofive Meadowlands,new-jersey,Yes
Nike Soccer Camp in Cedar Grove,new-jersey,Yes
Nike Soccer Camp in Colts Neck,new-jersey,Yes
Nike Soccer Camp at Morris Catholic High School,new-jersey,Yes
Nike Soccer Camp in Glassboro,new-jersey,Yes
Nike Soccer Camp in Hamilton,new-jersey,Yes
Nike Soccer Camp at The Peddie School,new-jersey,Yes
Nike Soccer Camp at Iron Peak Sports &amp; Events,new-jersey,Yes
Nike Soccer Camp in Holmdel,new-jersey,Yes
Nike Soccer Camp at Rider University,new-jersey,Yes
Nike Vogelsinger Soccer Camp with Beestera Soccer Training - The Lawrenceville School,new-jersey,No
Nike Soccer Camp at Red Bank Catholic,new-jersey,Yes
Nike Boys Soccer Camp with Giuseppe Rossi Academy - Lyndhurst,new-jersey,Yes
Nike Soccer Camp Metuchen SportsPlex,new-jersey,Yes
Nike Boys Soccer Camp at Saint Joseph Regional High School,new-jersey,Yes
Nike Soccer Camp in Moorestown,new-jersey,Yes
Nike Soccer Camp at Rutgers University,new-jersey,Yes
Bridges United Nike Soccer College ID Camp - Pennington School,new-jersey,Yes
Nike Soccer Camp Total Turf Experience Complex,new-jersey,Yes
Nike Soccer Camp at All Seasons Sports Academy,new-jersey,Yes
Nike Soccer Camp at Fairleigh Dickinson University - Teaneck,new-jersey,Yes
Nike Soccer Camp at Ranney School - Tinton Falls,new-jersey,Yes
Nike Soccer Camp in Toms River,new-jersey,Yes
Nike Soccer Camp at Mercer Community College,new-jersey,Yes
Nike Soccer Camp with Beestera Soccer Training - Afrim's Sports Park,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Averill Park,new-york,Yes
Nike Soccer Camp at Fordham University,new-york,Yes
