State,City,Camp Name (JSON),Event Details (CSV),Matched
missouri,Jefferson City,Nike Soccer Camp at Lincoln University of Missouri,Nike Soccer Camp at Lincoln University of Missouri,True
missouri,St. Louis,Nike Soccer Camp at Harris-Stowe State University,Nike Soccer Camp at Harris-Stowe State University,True
montana,Big Sky,Nike Soccer Camp in Big Sky,Nike Soccer Camp in Big Sky,True
montana,Bozeman,Nike Boys Soccer College ID Camp in Bozeman,Nike Boys Soccer College ID Camp in Bozeman,True
nebraska,La Vista,Nike Soccer Camp at Nebraska MultiSport Complex,Nike Soccer Camp at Nebraska MultiSport Complex,True
nevada,Henderson,Nike Soccer Camp with JM Soccer Academy - Henderson,Nike Soccer Camp with JM Soccer Academy - Henderson,True
nevada,Las Vegas,Nike Soccer Camp with JM Soccer Academy - Las Vegas,Nike Soccer Camp with JM Soccer Academy - Las Vegas,True
nevada,Sparks,Nike Soccer Camp with JM Soccer Academy - Reno,Nike Soccer Camp with JM Soccer Academy - Reno,True
new-hampshire,Manchester,Nike Soccer Camp at Saint Anselm,Nike Soccer Camp at Saint Anselm,True
new-jersey,Basking Ridge,Nike Soccer Camp at The Pingry School,Nike Soccer Camp at The Pingry School,True
new-jersey,Carlstadt,Nike Soccer Camp with Beestera Soccer Training at Sofive Meadowlands,Nike Soccer Camp with Beestera Soccer Training at Sofive Meadowlands,True
new-jersey,Cedar Grove,Nike Soccer Camp in Cedar Grove,Nike Soccer Camp in Cedar Grove,True
new-jersey,Colts Neck,Nike Soccer Camp in Colts Neck,Nike Soccer Camp in Colts Neck,True
new-jersey,Denville,Nike Soccer Camp at Morris Catholic High School,Nike Soccer Camp at Morris Catholic High School,True
new-jersey,Glassboro,Nike Soccer Camp in Glassboro,Nike Soccer Camp in Glassboro,True
new-jersey,Hamilton Township,Nike Soccer Camp in Hamilton,Nike Soccer Camp in Hamilton,True
new-jersey,Hightstown,Nike Soccer Camp at The Peddie School,Nike Soccer Camp at The Peddie School,True
new-jersey,Hillsborough,Nike Soccer Camp at Iron Peak Sports &amp; Events,Nike Soccer Camp at Iron Peak Sports &amp; Events,True
new-jersey,Holmdel,Nike Soccer Camp in Holmdel,Nike Soccer Camp in Holmdel,True
new-jersey,Lawrence Township,Nike Soccer Camp at Rider University,Nike Soccer Camp at Rider University,True
new-jersey,Little Silver,Nike Soccer Camp at Red Bank Catholic,Nike Soccer Camp at Red Bank Catholic,True
new-jersey,Lyndhurst,Nike Boys Soccer Camp with Giuseppe Rossi Academy - Lyndhurst,Nike Boys Soccer Camp with Giuseppe Rossi Academy - Lyndhurst,True
