No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender,Skills,Type,Payment
,,,,,,"DEC. 22 - DEC. 24, 2025",Ages: 5 - 14,Girls,All Skills,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
,,,,,,"DEC. 22 - DEC. 31, 2025",Ages: 5 - 14,Girls,All Skills,Day 9:00am-3:00pm,$539 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$379 Tuition + $30 Registration Fee
,,,,,,"DEC. 22 - DEC. 31, 2025",Ages: 5 - 14,Boys,All Skills,Day 9:00am-3:00pm,$539 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$379 Tuition + $30 Registration Fee
,,,,,,"DEC. 29 - DEC. 31, 2025",Ages: 5 - 14,Boys,All Skills,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
,,,,,,"DEC. 29 - DEC. 31, 2025",Ages: 5 - 14,Girls,All Skills,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
24,Nike Soccer Camp with First Strike Soccer - North Hollywood,34.0980031,-118.329523,Hollywood,CALIFORNIA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,,,,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,,,,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
25,Nike Soccer Camp in Huntington Beach,33.6783336,-118.000016,Huntington Beach,CALIFORNIA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
26,Nike Soccer Camp at  Irvine Valley College,33.6856969,-117.825981,Irvine,CALIFORNIA,"JUN. 16 - JUN. 19, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00AM-3:00PM,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00AM-12:00PM,$309 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 26, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00AM-3:00PM,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00AM-12:00PM,$309 Tuition + $30 Registration Fee
27,Nike Soccer Camp at Biola University,33.9060971,-118.0107092,La Mirada,CALIFORNIA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
28,Nike Soccer Camp at University of La Verne,34.1008426,-117.7678355,La Verne,CALIFORNIA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$299 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$299 Tuition + $30 Registration Fee
29,Nike Soccer Camp with Prospect Soccer Academy - Laguna Niguel,33.5225261,-117.7075526,Laguna Niguel,CALIFORNIA,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 14,Co-Ed,"High Performance, Player Development",Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,,,,"High Performance, Player Development",Half Day 9:00am-12:00pm,$329 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 14,Co-Ed,"High Performance, Player Development",Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,,,,"High Performance, Player Development",Half Day 9:00am-12:00pm,$329 Tuition + $30 Registration Fee
30,Nike Soccer Camp with Prospect Soccer Academy - Lake Forest,42.2586461,-87.8407055,Lake Forest,CALIFORNIA,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
