No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender,Skills,Type,Payment
,,,,,,,,,All Skills,Full Day (9:00am-3:00pm),$369 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 12,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$259 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Full Day (9:00am-3:00pm),$369 Tuition + $30 Registration Fee
101,Nike Soccer Camp in Gambrills,39.0963486,-76.6549097,Gambrills,MARYLAND,"JUL. 28 - AUG. 1, 2025",Ages: 5 - 12,Co-Ed,All Skills,Half Day 9:00 am - 12:00pm,$249 Tuition + $30 Registration Fee
102,Nike Soccer Camp in Glen Burnie,39.1595439,-76.6151514,Glen Burnie,MARYLAND,"AUG. 18 - AUG. 22, 2025",Ages: 5 - 12,Co-Ed,All Skills,Half Day 9:00 am - 12:00pm,$249 Tuition + $30 Registration Fee
103,Nike Soccer Camp in Hagerstown Fieldhouse,39.6430455,-77.7191081,Hagerstown,MARYLAND,"JUN. 23 - JUN. 27, 2025",Ages: 8 - 11,Co-Ed,Player Development,Day Camp 9am-3pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,Player Development,Half Day Camp 9am-12pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 12 - 15,Co-Ed,Advanced,Day Camp 9am-3pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,Advanced,Half Day Camp 9am-12pm,$259 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 8 - 11,Co-Ed,Player Development,Day Camp 9am-3pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,Player Development,Half Day Camp 9am-12pm,$259 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 12 - 15,Co-Ed,Advanced,Day Camp 9am-3pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,Advanced,Half Day Camp 9am-12pm,$259 Tuition + $30 Registration Fee
104,Nike Soccer Camp at Stevenson University,39.4148436,-76.7918234,Owings Mills,MARYLAND,"JUN. 30 - JUL. 3, 2025",Ages: 7 - 18,Co-Ed,All Skills,Day 9:00am-3:00pm,$349 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 7 - 18,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
105,Nike Soccer Camp with Next Star - Sofive Rockville &amp; Master Skills Clinics,39.0817985,-77.1516844,Rockville,MARYLAND,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$309 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$439 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 14 - 18,Co-Ed,High School Soccer Players,Half Day (9:00am-12:00pm),$309 Tuition + $30 Registration Fee
,,,,,,,,,High School Soccer Players,Day (9:00am-3:00pm),$439 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 18 - 21,Co-Ed,College Preparation,Half Day (9:00am-12:00pm),$309 Tuition + $30 Registration Fee
,,,,,,,,,College Preparation,Day (9:00am-3:00pm),$439 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$309 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$439 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 14 - 18,Co-Ed,High School Soccer Players,Half Day (9:00am-12:00pm),$309 Tuition + $30 Registration Fee
,,,,,,,,,High School Soccer Players,Day (9:00am-3:00pm),$439 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 18 - 21,Co-Ed,College Preparation,Half Day (9:00am-12:00pm),$309 Tuition + $30 Registration Fee
,,,,,,,,,College Preparation,Day (9:00am-3:00pm),$439 Tuition + $30 Registration Fee
106,Nike Soccer Camp at Washington Adventist University,38.9778882,-77.0074765,Takoma Park,MARYLAND,"JUN. 23 - JUN. 27, 2025",Ages: 8 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$289 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 8 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$289 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 8 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$289 Tuition + $30 Registration Fee
108,Nike Soccer Camp at Merrimack College,42.65717,-71.1408776,Andover,MASSACHUSETTS,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
109,Nike Soccer Camp with Next Step Training - Attleboro,41.9439695,-71.2804301,Attleboro,MASSACHUSETTS,"JUL. 14 - JUL. 17, 2025",Ages: 5 - 17,Co-Ed,High Performance,Day (9:00am-3:00pm),$419 Tuition + $30 Registration Fee
,,,,,,,,,High Performance,Half Day (9:00am-12:00pm),$299 Tuition + $30 Registration Fee
111,Nike Soccer Camp at Winsor School,42.3554334,-71.060511,Boston,MASSACHUSETTS,"JUN. 23 - JUN. 27, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$459 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$459 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$459 Tuition + $30 Registration Fee
112,Nike Soccer Camp at Thayer Sports Center,42.2205956,-71.0041229,Braintree,MASSACHUSETTS,"JUN. 30 - JUL. 3, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 8:30am- 11:30am,$259 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 8:30am- 11:30am,$319 Tuition + $30 Registration Fee
113,Nike Soccer Camp at Liverpool FC International Academy - Mass. Maritime Academy,41.7452589,-70.6154965,Buzzards Bay,MASSACHUSETTS,"AUG. 3 - AUG. 6, 2025",Ages: 10 - 16,Girls,All Skills,Overnight,$789 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Extended-Day 9am-8pm,$689 Tuition + $40 Registration Fee
,,,,,,"AUG. 3 - AUG. 6, 2025",Ages: 10 - 16,Boys,All Skills,Overnight,$789 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Extended-Day 9am-8pm,$689 Tuition + $40 Registration Fee
,,,,,,"AUG. 4 - AUG. 6, 2025",Ages: 7 - 16,Girls,All Skills,Day 9am-4pm,$399 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 6, 2025",Ages: 7 - 16,Boys,All Skills,Day 9am-4pm,$399 Tuition + $30 Registration Fee
115,Nike Soccer Camp at Charles River School,51.1251275,1.3134228,Dover,MASSACHUSETTS,"AUG. 18 - AUG. 21, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day 8:30am-2:00pm,$419 Tuition + $30 Registration Fee
116,Nike Soccer Camp at Framingham State University,42.2773177,-71.4165905,Framingham,MASSACHUSETTS,"JUL. 14 - JUL. 18, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:30pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 8:30am-11:30am,$319 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:30pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 8:30am-11:30am,$319 Tuition + $30 Registration Fee
117,Nike Soccer Camp at Georgetown High School,6.8137426,-58.1624465,Georgetown,MASSACHUSETTS,"JUL. 14 - JUL. 17, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$419 Tuition + $30 Registration Fee
118,Nike Soccer Camp at Derby Academy,42.2417669,-70.8897676,Hingham,MASSACHUSETTS,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm (Ages 8-16),$469 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half-Day 8:30am-11:30am (Ages 6-7),$329 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm (Ages 8-16),$469 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half-Day 8:30am-11:30am (Ages 6-7),$329 Tuition + $30 Registration Fee
119,Nike Soccer Camp at Brookwood School,53.4794892,-2.2451148,Manchester,MASSACHUSETTS,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
120,Nike Soccer Camp at Fore Kicks II Sports Complex,42.3468589,-71.5525188,Marlborough,MASSACHUSETTS,"JUL. 7 - JUL. 11, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 8:30am-11:30am,$309 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 14, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 8:30am-11:30am,$269 Tuition + $30 Registration Fee
122,Nike Soccer Camps at Milton Academy,42.2501425,-71.065573,Milton,MASSACHUSETTS,"JUN. 30 - JUL. 3, 2025",Ages: 8 - 18,Co-Ed,"All Skills, High School Soccer Players",Full Day 9am-4pm,$499 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 10, 2025",Ages: 8 - 18,Co-Ed,"All Skills, High School Soccer Players",Full Day 9am-4pm,$499 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 17, 2025",Ages: 8 - 18,Co-Ed,"All Skills, High School Soccer Players",Full Day 9am-4pm,$499 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 24, 2025",Ages: 8 - 18,Co-Ed,"All Skills, High School Soccer Players",Full Day 9am-4pm,$499 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - JUL. 31, 2025",Ages: 8 - 18,Co-Ed,"All Skills, High School Soccer Players",Full Day 9am-4pm,$499 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 7, 2025",Ages: 8 - 18,Co-Ed,"All Skills, High School Soccer Players",Full Day 9am-4pm,$499 Tuition + $30 Registration Fee
123,Nike Soccer Camp with Next Step Training - Natick,42.2836393,-71.346996,Natick,MASSACHUSETTS,"JUL. 7 - JUL. 10, 2025",Ages: 7 - 17,Co-Ed,High Performance,Day (9:00am-3:00pm),$449 Tuition + $30 Registration Fee
,,,,,,,,,High Performance,Half Day (9:00am-12:00pm),$319 Tuition + $30 Registration Fee
124,Nike Soccer Camp powered by Steel Sports - Olin College,42.2802645,-71.2360624,Needham,MASSACHUSETTS,"JUN. 23 - JUN. 26, 2025",Ages: 7 - 14,Co-Ed,High Performance,Half Day (9:00am-12:00pm),$249 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 24, 2025",Ages: 7 - 14,Co-Ed,High Performance,Half Day (9:00am-12:00pm),$249 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 14, 2025",Ages: 7 - 14,Co-Ed,High Performance,Half Day (9:00am-12:00pm),$249 Tuition + $30 Registration Fee
125,Nike Soccer Camp at Newton South High School,30.8118989,-93.740504,Newton,MASSACHUSETTS,"AUG. 4 - AUG. 8, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$499 Tuition + $30 Registration Fee
126,Nike Soccer Camp at Liverpool FC International Academy - Cape Cod Academy,41.6287556,-70.3868868,osterville,MASSACHUSETTS,"JUN. 30 - JUL. 3, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day 9am-3pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$329 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 10, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day 9am-3pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$329 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 17, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day 9am-3pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$329 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 24, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day 9am-3pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$329 Tuition + $30 Registration Fee
127,Nike Soccer Camp with Next Step Training - Raynham,41.9487118,-71.0731008,Raynham,MASSACHUSETTS,"AUG. 4 - AUG. 7, 2025",Ages: 7 - 17,Co-Ed,High Performance,Day (9:00am-3:00pm),$309 Tuition + $30 Registration Fee
128,Nike Soccer Camp with Beestera Soccer Training - Mount Holyoke College,42.2591392,-72.5751341,South Hadley,MASSACHUSETTS,"JUL. 27 - AUG. 1, 2025",Ages: 10 - 18,Co-Ed,"Field Player, Goalkeeper",Extended 9:00am-9:00pm,$999 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Overnight,"$1,169 Tuition + $40 Registration Fee"
129,Nike Soccer Camp with Next Step Training - Tewksbury,42.6106479,-71.2342248,Tewksbury,MASSACHUSETTS,"JUL. 21 - JUL. 24, 2025",Ages: 5 - 17,Co-Ed,High Performance,Day (9:00am-3:00pm),$399 Tuition + $30 Registration Fee
,,,,,,,,,High Performance,Half Day (9:00am-12:00pm),$279 Tuition + $30 Registration Fee
130,Nike Soccer Camp with Beestera Soccer Training - Tyngsborough,42.6761451,-71.4227726,Tyngsborough,MASSACHUSETTS,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
131,Nike Soccer Camp with Next Step Training - Weymouth,50.6096257,-2.4543424,Weymouth,MASSACHUSETTS,"JUL. 14 - JUL. 17, 2025",Ages: 7 - 17,Co-Ed,High Performance,Day (9:00am-3:00pm),$429 Tuition + $30 Registration Fee
,,,,,,,,,High Performance,Half Day (9:00am-12:00pm),$299 Tuition + $30 Registration Fee
132,Nike Soccer Camp at Worcester State University,42.2625621,-71.8018877,Worcester,MASSACHUSETTS,"JUL. 21 - JUL. 25, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 8:30 am - 11:30 am,$319 Tuition + $30 Registration Fee
133,Nike Soccer Camp with Liverpool FC International Academy - Ann Arbor,42.2813722,-83.7484616,Ann Arbor,MICHIGAN,"JUL. 14 - JUL. 17, 2025",Ages: 6 - 13,Co-Ed,All Skills,Day 9am-3pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$229 Tuition + $30 Registration Fee
134,Nike Soccer Camp at University of Detroit Mercy,42.3315509,-83.0466403,Detroit,MICHIGAN,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$259 Tuition + $30 Registration Fee
135,Nike Soccer Camp in Fenton,38.5131989,-90.4400578,Fenton,MICHIGAN,"AUG. 4 - AUG. 7, 2025",Ages: 6 - 13,Co-Ed,All Skills,Day 9am-3pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$229 Tuition + $30 Registration Fee
136,Nike Soccer Camp at Liverpool FC International Academy - South Oakland,42.4605917,-83.1346478,Ferndale,MICHIGAN,"JUN. 16 - JUN. 19, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day 9am-12pm,$209 Tuition + $30 Registration Fee
137,Nike Soccer Camp at Davenport University,42.9632425,-85.6678639,Grand Rapids,MICHIGAN,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$399 Tuition + $30 Registration Fee
139,Nike Soccer Camp at Liverpool FC International Academy - Central,42.6389216,-83.2910468,Pontiac,MICHIGAN,"JUL. 21 - JUL. 24, 2025",Ages: 6 - 13,Co-Ed,All Skills,Day 9am-3pm,$339 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$239 Tuition + $30 Registration Fee
140,Nike Soccer Camp at Saginaw Valley State University,43.4200387,-83.9490365,Saginaw,MICHIGAN,"JUN. 16 - JUN. 19, 2025",Ages: 6 - 13,Co-Ed,All Skills,Day 9am-3pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$229 Tuition + $30 Registration Fee
141,Nike Soccer Camp at Waterford Township,52.2609997,-7.1119081,Waterford,MICHIGAN,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$259 Tuition + $30 Registration Fee
142,Nike Soccer Camp at Shattuck - St. Mary's School,43.6647961,-93.9510501,Faribault,MINNESOTA,"AUG. 3 - AUG. 6, 2025",Ages: 8 - 18,Co-Ed,"Field Player, Goalkeeper",Overnight,$799 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Extended Day (9am-9pm),$699 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day (9am-4pm),$499 Tuition + $40 Registration Fee
143,Nike Soccer Camp at Minnesota State University Mankato,44.1634663,-93.9993505,Mankato,MINNESOTA,"JUN. 16 - JUN. 19, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$239 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$329 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 7, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$239 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$329 Tuition + $30 Registration Fee
145,Nike Soccer Camp in Stillwater,36.1156306,-97.0585717,Stillwater,MINNESOTA,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 14,Co-Ed,"Goalkeeper, All Skills",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,,,,"Goalkeeper, All Skills",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
146,Nike Soccer Camp at Lincoln University of Missouri,38.577359,-92.1724265,Jefferson City,MISSOURI,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
147,Nike Soccer Camp at Harris-Stowe State University,38.6280278,-90.1910154,St. Louis,MISSOURI,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
148,Nike Soccer Camp in Big Sky,45.255111,-111.2661895,Big Sky,MONTANA,"JUL. 21 - JUL. 24, 2025",Ages: 5 - 12,Co-Ed,All Skills,Full Day 9am-3pm,$309 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$219 Tuition + $40 Registration Fee
149,Nike Boys Soccer College ID Camp in Bozeman,45.6794293,-111.044047,Bozeman,MONTANA,"JUL. 24 - JUL. 27, 2025",Ages: 12 - 19,Boys,All Skills,Overnight,$639 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Extended Day 9am-9pm,$539 Tuition + $40 Registration Fee
150,Nike Soccer Camp at Nebraska MultiSport Complex,41.1832679,-96.0324044,La Vista,NEBRASKA,"AUG. 4 - AUG. 8, 2025",Ages: 7 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$259 Tuition + $30 Registration Fee
152,Nike Soccer Camp with JM Soccer Academy - Henderson,32.182598,-95.7893178,Henderson,NEVADA,"JUN. 2 - JUN. 6, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day (8:00am-11:00am),$269 Tuition + $30 Registration Fee
153,Nike Soccer Camp with JM Soccer Academy - Las Vegas,36.171697,-115.1463536,Las Vegas,NEVADA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day (8:00am-11:00am),$269 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day (8:00am-11:00am),$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day (8:00am-11:00am),$269 Tuition + $30 Registration Fee
,,,,,,"DEC. 26 - DEC. 29, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day (9:00am-12:00pm),$299 Tuition + $30 Registration Fee
,,,,,,,,,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Full Day (9:00am-3:00pm),$299 Tuition + $30 Registration Fee
154,Nike Soccer Camp with JM Soccer Academy - Reno,39.5404679,-119.7487235,Sparks,NEVADA,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day (9:00am-12:00pm),$299 Tuition + $30 Registration Fee
,,,,,,,,,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Full Day (9:00am-3:00pm),$429 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day (9:00am-12:00pm),$299 Tuition + $30 Registration Fee
,,,,,,,,,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Full Day (9:00am-3:00pm),$429 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 16,Co-Ed,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Half Day (9:00am-12:00pm),$299 Tuition + $30 Registration Fee
,,,,,,,,,"Player Development (Ages 6-11), High Performance (Ages 12-16)",Full Day (9:00am-3:00pm),$429 Tuition + $30 Registration Fee
155,Nike Soccer Camp at Saint Anselm,53.4794892,-2.2451148,Manchester,NEW-HAMPSHIRE,"JUL. 7 - JUL. 10, 2025",Ages: 7 - 16,Co-Ed,All Skills,Day 8:30am-2:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 8:30am - 11:30am,$279 Tuition + $30 Registration Fee
156,Nike Soccer Camp at The Pingry School,40.7064088,-74.5492725,Basking Ridge,NEW-JERSEY,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 15,Co-Ed,All Skills,Day 9am-3pm (Ages 7+),$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day,$319 Tuition + $30 Registration Fee
157,Nike Soccer Camp with Beestera Soccer Training at Sofive Meadowlands,40.8403778,-74.0906974,Carlstadt,NEW-JERSEY,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,"Field Player, Goalkeeper",Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 6 - 16,Co-Ed,"Field Player, Goalkeeper",Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
,,,,,,"AUG. 25 - AUG. 29, 2025",Ages: 6 - 16,Co-Ed,"Field Player, Goalkeeper",Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
158,Nike Soccer Camp in Cedar Grove,40.8517662,-74.229035,Cedar Grove,NEW-JERSEY,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$279 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$279 Tuition + $30 Registration Fee
159,Nike Soccer Camp in Colts Neck,40.2876108,-74.1723652,Colts Neck,NEW-JERSEY,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
160,Nike Soccer Camp at Morris Catholic High School,40.8922694,-74.4774255,Denville,NEW-JERSEY,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
